Publication_year,NPmaterials,NPshape,Coated,Charge,Pegylation,Uptakepathway,Toxicity,Immuneresponse,Otherbiologicaleffect,PCmethods,Incubationcondition,PCprotein
2020,Lipoplexes,Others,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Complement,Anticancer,Proteomics,Plasma,Lipoprotein
2023,Others,Others,Coated,Negative charge,Pegylated,Macropinocytosis,Cytotoxicity,Dendritic cells,Anticancer,Fluorescence,Serum,Transferrin
2024,Lipoplexes,Others,Coated,Negative charge,Pegylated,Phagocytosis,Hemotoxicity,Complement,Biodistribution,Fluorescence,Serum,Lipoprotein
2015,Magnetic,Others,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Others,Release,Microscope,Plasma,Albumin
2019,Micelles,Nanorods,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Immune response,Targeting,Fluorescence,Serum,Albumin
2021,Magnetic,Others,Coated,Unknown,Pegylated,Unknown,Cytotoxicity,Complement,Antipeg,Proteomics,Plasma,Lipoprotein
2018,Others,Nanorods,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Inflammation,Biodistribution,Spectrum,Plasma,Transferrin
2018,Lipoplexes,Spherical,Coated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Macrophages,Anticancer,Microscope,Serum,Others
2018,Surfactants,Spherical,Coated,Negative charge,Pegylated,Phagocytosis,Unknown,Macrophages,Stability,Sdspage,Plasma,Lipoprotein
2014,Gold,Nanorods,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Complement,Anticancer,Microscope,Medium,Albumin
2017,Surfactants,Nanotubes,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Biodistribution,Sdspage,Plasma,Lipoprotein
2017,Lipoplexes,Spherical,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Complement,Anticancer,Spectrum,Serum,Lipoprotein
2017,Lipoplexes,Others,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Immune response,Biodistribution,Sdspage,Plasma,Albumin
2018,Micelles,Nanorods,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Complement,Anticancer,Spectrum,Medium,Albumin
2020,Lipoplexes,Spherical,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Complement,Targeting,Fluorescence,Serum,Albumin
2021,Others,Others,Coated,Unknown,Pegylated,Unknown,Unknown,Complement,Release,Proteomics,Serum,Lipoprotein
2021,Carbon,Nanotubes,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Immune response,Biodistribution,Sdspage,Plasma,Lipoprotein
