Publication_year,NPmaterials,NPshape,Coated,Charge,Pegylation,Uptakepathway,Toxicity,Immuneresponse,Otherbiologicaleffect,PCmethods,Incubationcondition,PCprotein
2015,Carbon,Nanosheets,Coated,Negative charge,Unpegylated,Phagocytosis,Cytotoxicity,Inflammation,Anticancer,Microscope,Plasma,Fibrinogen
2015,Silicon,Spherical,Unknown,Unknown,Unpegylated,Unknown,Unknown,Others,Others,Others,Others,Others
2015,Agglomerates,Others,Unknown,Negative charge,Unpegylated,Unknown,Unknown,Others,Stability,Spectrum,Bovine,Albumin
2015,Agglomerates,Spherical,Unknown,Positive charge,Unpegylated,Unknown,Cytotoxicity,Others,Stability,Spectrum,Serum,Albumin
2015,Silver,Spherical,Coated,Unknown,Unpegylated,Unknown,Cytotoxicity,Others,Biodistribution,Spectrum,Medium,Albumin
2015,Oxidative,Others,Unknown,Negative charge,Unpegylated,Unknown,Cytotoxicity,Inflammation,Anticancer,Sdspage,Plasma,Others
2015,Others,Spherical,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Immune response,Biodistribution,Microscope,Medium,Others
2015,Micelles,Others,Coated,Negative charge,Unpegylated,Phagocytosis,Cytotoxicity,Immune response,Biodistribution,Spectrum,Medium,Others
2015,Polystyrene,Spherical,Coated,Unknown,Unpegylated,Unknown,Unknown,Immune response,Targeting,Microscope,Plasma,Transferrin
2015,Peptide,Others,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Complement,Biodistribution,Spectrum,Medium,Fibrinogen
2015,Polystyrene,Others,Coated,Negative charge,Unpegylated,Unknown,Unknown,Complement,Stability,Fluorescence,Serum,Albumin
2015,Lipoplexes,Others,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Complement,Biodistribution,Fluorescence,Plasma,Others
2015,Others,Others,Coated,Positive charge,Unpegylated,Endocytosis,Cytotoxicity,Complement,Biodistribution,Spectrum,Plasma,Lipoprotein
2015,Others,Spherical,Unknown,Negative charge,Unpegylated,Unknown,Cytotoxicity,Others,Biodistribution,Others,Serum,Albumin
2015,Others,Nanotubes,Unknown,Positive charge,Unpegylated,Unknown,Cytotoxicity,Inflammation,Targeting,Proteomics,Serum,Lipoprotein
2015,Carbon,Nanotubes,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Immune response,Enzymes,Fluorescence,Serum,Albumin
2015,Others,Others,Coated,Neutral,Unpegylated,Unknown,Cytotoxicity,Others,Biodistribution,Spectrum,Plasma,Albumin
2015,Magnetic,Spherical,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Others,Biodistribution,Others,Others,Others
2015,Others,Nanosheets,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Macrophages,Anticancer,Fluorescence,Serum,Albumin
2015,Magnetic,Others,Coated,Negative charge,Unpegylated,Endocytosis,Cytotoxicity,Complement,Targeting,Microscope,Serum,Lipoprotein
2015,Lipoplexes,Spherical,Coated,Unknown,Unpegylated,Unknown,Unknown,Immune response,Anticancer,Spectrum,Serum,Albumin
2015,Silicon,Others,Coated,Negative charge,Unpegylated,Unknown,Hemotoxicity,Immune response,Biodistribution,Microscope,Plasma,Albumin
2015,Others,Others,Coated,Neutral,Unpegylated,Unknown,Unknown,Others,Therapy,Icpms,Serum,Albumin
2015,Silver,Nanosheets,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Macrophages,Antibacterial,Spectrum,Serum,Albumin
2015,Magnetic,Nanotubes,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Macrophages,Stability,Spectrum,Medium,Albumin
2015,Agglomerates,Others,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Others,Stability,Spectrum,Bovine,Others
2015,Silver,Others,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Others,Stability,Icpms,Bovine,Albumin
2015,Lipoplexes,Others,Coated,Positive charge,Unpegylated,Phagocytosis,Cytotoxicity,Macrophages,Biodistribution,Fluorescence,Medium,Others
2015,Others,Spherical,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Others,Targeting,Fluorescence,Plasma,Albumin
2015,Oxidative,Spherical,Coated,Unknown,Unpegylated,Endocytosis,Cytotoxicity,Others,Biodistribution,Others,Serum,Albumin
2015,Magnetic,Others,Coated,Positive charge,Unpegylated,Endocytosis,Cytotoxicity,Inflammation,Biodistribution,Microscope,Serum,Albumin
2015,Silver,Nanosheets,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Others,Enzymes,Sdspage,Medium,Others
2015,Lipoplexes,Others,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Complement,Biodistribution,Spectrum,Plasma,Albumin
2015,Lipoplexes,Nanotubes,Coated,Unknown,Unpegylated,Unknown,Cytotoxicity,Macrophages,Biodistribution,Proteomics,Plasma,Albumin
2015,Peptide,Nanosheets,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Complement,Therapy,Spectrum,Plasma,Fibrinogen
2015,Silicon,Nanosheets,Coated,Unknown,Unpegylated,Unknown,Cytotoxicity,Cytokines,Release,Spectrum,Plasma,Fibrinogen
2015,Others,Nanosheets,Coated,Positive charge,Unpegylated,Unknown,Unknown,Complement,Others,Fluorescence,Serum,Albumin
2015,Oxidative,Others,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Inflammation,Release,Spectrum,Plasma,Albumin
2015,Others,Spherical,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Cytokines,Release,Spectrum,Plasma,Fibrinogen
2015,Silicon,Others,Coated,Positive charge,Unpegylated,Endocytosis,Cytotoxicity,Macrophages,Biodistribution,Fluorescence,Serum,Albumin
2015,Others,Spherical,Coated,Negative charge,Unpegylated,Endocytosis,Cytotoxicity,Immune response,Release,Fluorescence,Serum,Others
2015,Others,Others,Coated,Negative charge,Unpegylated,Endocytosis,Cytotoxicity,Others,Anticancer,Fluorescence,Serum,Albumin
2015,Silver,Nanotubes,Coated,Unknown,Unpegylated,Unknown,Cytotoxicity,Macrophages,Release,Spectrum,Serum,Albumin
2015,Silver,Nanotubes,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Inflammation,Biodistribution,Spectrum,Serum,Albumin
2015,Others,Spherical,Unknown,Positive charge,Unpegylated,Unknown,Unknown,Others,Stability,Sdspage,Medium,Others
2015,Silver,Nanorods,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Macrophages,Biodistribution,Spectrum,Serum,Albumin
2015,Oxidative,Spherical,Coated,Positive charge,Unpegylated,Endocytosis,Cytotoxicity,Monocytes,Antibacterial,Microscope,Serum,Albumin
2015,Micelles,Nanotubes,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Others,Enzymes,Fluorescence,Serum,Others
2015,Oxidative,Amorphous,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Complement,Release,Microscope,Serum,Albumin
2015,Oxidative,Nanotubes,Coated,Positive charge,Unpegylated,Endocytosis,Cytotoxicity,Complement,Anticancer,Microscope,Medium,Albumin
2015,Magnetic,Others,Coated,Negative charge,Unpegylated,Endocytosis,Cytotoxicity,Others,Anticancer,Microscope,Bovine,Others
2015,Colloids,Others,Coated,Negative charge,Unpegylated,Unknown,Unknown,Others,Release,Sdspage,Serum,Albumin
2015,Agglomerates,Spherical,Coated,Positive charge,Unpegylated,Endocytosis,Cytotoxicity,Inflammation,Release,Fluorescence,Serum,Albumin
2015,Silicon,Amorphous,Coated,Negative charge,Unpegylated,Endocytosis,Cytotoxicity,Inflammation,Biodistribution,Microscope,Plasma,Others
2015,Gold,Nanosheets,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Inflammation,Biodistribution,Microscope,Plasma,Fibrinogen
2015,Gold,Others,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Others,Biodistribution,Spectrum,Medium,Others
2015,Others,Amorphous,Coated,Positive charge,Unpegylated,Phagocytosis,Cytotoxicity,Macrophages,Release,Microscope,Serum,Albumin
2015,Silicon,Amorphous,Coated,Unknown,Unpegylated,Unknown,Cytotoxicity,Cytokines,Release,Microscope,Plasma,Fibrinogen
2015,Oxidative,Spherical,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Others,Anticancer,Proteomics,Serum,Others
2015,Magnetic,Others,Coated,Unknown,Unpegylated,Unknown,Unknown,Macrophages,Others,Proteomics,Plasma,Others
2015,Polystyrene,Spherical,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Macrophages,Enzymes,Sdspage,Medium,Albumin
2015,Colloids,Spherical,Coated,Negative charge,Unpegylated,Phagocytosis,Unknown,Macrophages,Enzymes,Sdspage,Plasma,Others
2015,Gold,Spherical,Unknown,Positive charge,Unpegylated,Unknown,Unknown,Others,Stability,Spectrum,Plasma,Albumin
2015,Silver,Spherical,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Inflammation,Antibacterial,Microscope,Bovine,Fibrinogen
2015,Magnetic,Others,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Others,Biodistribution,Sdspage,Serum,Others
2015,Polystyrene,Others,Coated,Negative charge,Unpegylated,Unknown,Unknown,Immune response,Stability,Spectrum,Serum,Others
2015,Others,Amorphous,Coated,Negative charge,Unpegylated,Phagocytosis,Hemotoxicity,Complement,Antibacterial,Spectrum,Serum,Albumin
2015,Gold,Others,Unknown,Positive charge,Unpegylated,Unknown,Unknown,Others,Biodistribution,Uvvis,Medium,Others
2015,Silicon,Amorphous,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Monocytes,Biodistribution,Sdspage,Plasma,Albumin
2015,Others,Others,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Immune response,Biodistribution,Proteomics,Plasma,Others
2015,Magnetic,Others,Coated,Negative charge,Unpegylated,Endocytosis,Cytotoxicity,Others,Targeting,Spectrum,Bovine,Albumin
2015,Micelles,Others,Coated,Negative charge,Unpegylated,Phagocytosis,Cytotoxicity,Immune response,Biodistribution,Microscope,Serum,Albumin
2015,Others,Spherical,Coated,Positive charge,Unpegylated,Phagocytosis,Cytotoxicity,Macrophages,Targeting,Microscope,Serum,Albumin
2015,Micelles,Spherical,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Others,Antibacterial,Spectrum,Medium,Others
2015,Carbon,Nanotubes,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Others,Biodistribution,Fluorescence,Medium,Others
2015,Gold,Others,Unknown,Negative charge,Unpegylated,Unknown,Cytotoxicity,Immune response,Anticancer,Spectrum,Serum,Others
2015,Oxidative,Spherical,Coated,Positive charge,Unpegylated,Endocytosis,Cytotoxicity,Immune response,Biodistribution,Spectrum,Serum,Albumin
2016,Carbon,Nanotubes,Coated,Neutral,Unpegylated,Unknown,Cytotoxicity,Immune response,Therapy,Others,Bovine,Albumin
2016,Oxidative,Others,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Inflammation,Enzymes,Spectrum,Medium,Others
2016,Oxidative,Others,Coated,Negative charge,Unpegylated,Endocytosis,Cytotoxicity,Macrophages,Enzymes,Proteomics,Plasma,Others
2016,Magnetic,Spherical,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Others,Enzymes,Spectrum,Serum,Albumin
2016,Silver,Others,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Others,Stability,Spectrum,Bovine,Albumin
2016,Agglomerates,Spherical,Coated,Positive charge,Unpegylated,Endocytosis,Cytotoxicity,Inflammation,Biodistribution,Proteomics,Plasma,Others
2016,Others,Nanotubes,Coated,Positive charge,Unpegylated,Endocytosis,Cytotoxicity,Macrophages,Biodistribution,Fluorescence,Serum,Albumin
2016,Silver,Others,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Others,Stability,Uvvis,Serum,Others
2016,Silver,Others,Coated,Negative charge,Unpegylated,Endocytosis,Cytotoxicity,Immune response,Enzymes,Spectrum,Bovine,Albumin
2016,Surfactants,Others,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Complement,Biodistribution,Microscope,Plasma,Albumin
2016,Gold,Spherical,Coated,Unknown,Unpegylated,Unknown,Unknown,Others,Biodistribution,Fluorescence,Medium,Albumin
2016,Agglomerates,Others,Unknown,Unknown,Unpegylated,Unknown,Unknown,Others,Biodistribution,Fluorescence,Bovine,Albumin
2016,Oxidative,Others,Unknown,Negative charge,Unpegylated,Unknown,Cytotoxicity,Others,Biodistribution,Fluorescence,Serum,Albumin
2016,Silicon,Others,Unknown,Negative charge,Unpegylated,Phagocytosis,Cytotoxicity,Macrophages,Anticancer,Fluorescence,Serum,Albumin
2016,Agglomerates,Spherical,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Others,Biodistribution,Spectrum,Plasma,Albumin
2016,Others,Others,Coated,Negative charge,Unpegylated,Unknown,Unknown,Dendritic cells,Targeting,Fluorescence,Serum,Others
2016,Oxidative,Nanosheets,Coated,Positive charge,Unpegylated,Endocytosis,Cytotoxicity,Others,Biodistribution,Fluorescence,Plasma,Albumin
2016,Gold,Others,Unknown,Negative charge,Unpegylated,Unknown,Cytotoxicity,Others,Biodistribution,Sdspage,Plasma,Others
2016,Others,Others,Uncoated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Others,Stability,Spectrum,Medium,Others
2016,Gold,Others,Coated,Negative charge,Unpegylated,Unknown,Unknown,Immune response,Biodistribution,Fluorescence,Plasma,Transferrin
2016,Virus,Spherical,Coated,Unknown,Unpegylated,Unknown,Unknown,Immune response,Biodistribution,Microscope,Medium,Others
2016,Gold,Others,Coated,Positive charge,Unpegylated,Unknown,Unknown,Complement,Biodistribution,Microscope,Serum,Albumin
2016,Lipoplexes,Nanosheets,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Macrophages,Anticancer,Sdspage,Plasma,Albumin
2016,Others,Others,Coated,Positive charge,Unpegylated,Endocytosis,Cytotoxicity,Others,Release,Spectrum,Plasma,Others
2016,Silver,Others,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Others,Targeting,Spectrum,Plasma,Albumin
2016,Gold,Nanotubes,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Others,Stability,Fluorescence,Serum,Albumin
2016,Oxidative,Nanosheets,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Inflammation,Biodistribution,Spectrum,Plasma,Fibrinogen
2016,Others,Nanorods,Coated,Positive charge,Unpegylated,Endocytosis,Cytotoxicity,Dendritic cells,Anticancer,Spectrum,Medium,Albumin
2016,Silicon,Amorphous,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Macrophages,Biodistribution,Fluorescence,Medium,Others
2016,Silicon,Amorphous,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Macrophages,Antibacterial,Fluorescence,Serum,Albumin
2016,Oxidative,Spherical,Coated,Unknown,Unpegylated,Unknown,Cytotoxicity,Others,Release,Spectrum,Plasma,Others
2016,Magnetic,Others,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Others,Biodistribution,Microscope,Medium,Others
2016,Carbon,Spherical,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Immune response,Biodistribution,Microscope,Plasma,Albumin
2016,Silver,Nanotubes,Coated,Unknown,Unpegylated,Unknown,Cytotoxicity,Cytokines,Anticancer,Fluorescence,Serum,Albumin
2016,Others,Spherical,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Macrophages,Enzymes,Spectrum,Others,Others
2016,Micelles,Others,Coated,Negative charge,Unpegylated,Endocytosis,Cytotoxicity,Others,Biodistribution,Microscope,Serum,Others
2016,Carbon,Nanotubes,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Inflammation,Stability,Spectrum,Serum,Albumin
2016,Silver,Spherical,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Others,Biodistribution,Sdspage,Serum,Transferrin
2016,Gold,Spherical,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Others,Stability,Uvvis,Medium,Others
2016,Silicon,Others,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Complement,Enzymes,Proteomics,Plasma,Albumin
2016,Silicon,Others,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Others,Biodistribution,Fluorescence,Bovine,Albumin
2016,Gold,Nanorods,Coated,Negative charge,Unpegylated,Endocytosis,Cytotoxicity,Inflammation,Biodistribution,Microscope,Medium,Albumin
2016,Gold,Nanotubes,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Others,Enzymes,Spectrum,Medium,Others
2016,Surfactants,Spherical,Coated,Positive charge,Unpegylated,Phagocytosis,Cytotoxicity,Complement,Biodistribution,Microscope,Plasma,Albumin
2016,Carbon,Nanotubes,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Others,Antibacterial,Spectrum,Bovine,Others
2016,Peptide,Nanorods,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Others,Release,Spectrum,Serum,Albumin
2016,Others,Others,Coated,Unknown,Unpegylated,Unknown,Unknown,Others,Targeting,Fluorescence,Serum,Lipoprotein
2016,Gold,Nanorods,Coated,Negative charge,Unpegylated,Endocytosis,Cytotoxicity,Cytokines,Biodistribution,Sdspage,Bovine,Albumin
2016,Carbon,Nanotubes,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Inflammation,Biodistribution,Spectrum,Medium,Others
2016,Peptide,Spherical,Unknown,Positive charge,Unpegylated,Unknown,Unknown,Others,Antibacterial,Spectrum,Others,Others
2016,Others,Others,Coated,Unknown,Unpegylated,Unknown,Cytotoxicity,Others,Biodistribution,Others,Serum,Others
2016,Silver,Spherical,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Macrophages,Antibacterial,Microscope,Medium,Albumin
2016,Silver,Nanotubes,Coated,Negative charge,Unpegylated,Endocytosis,Cytotoxicity,Inflammation,Biodistribution,Proteomics,Plasma,Others
2016,Gold,Spherical,Unknown,Unknown,Unpegylated,Unknown,Unknown,Others,Anticancer,Sdspage,Serum,Albumin
2016,Others,Spherical,Coated,Negative charge,Unpegylated,Endocytosis,Cytotoxicity,Inflammation,Targeting,Microscope,Serum,Transferrin
2016,Gold,Spherical,Unknown,Negative charge,Unpegylated,Unknown,Cytotoxicity,Cytokines,Anticancer,Spectrum,Others,Others
2016,Gold,Spherical,Unknown,Negative charge,Unpegylated,Unknown,Cytotoxicity,Cytokines,Anticancer,Spectrum,Others,Others
2016,Silver,Spherical,Coated,Unknown,Unpegylated,Unknown,Cytotoxicity,Inflammation,Release,Spectrum,Serum,Albumin
2016,Silver,Others,Coated,Unknown,Unpegylated,Unknown,Cytotoxicity,Inflammation,Release,Spectrum,Serum,Albumin
2016,Peptide,Others,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Inflammation,Biodistribution,Spectrum,Bovine,Others
2016,Others,Nanotubes,Coated,Negative charge,Unpegylated,Phagocytosis,Cytotoxicity,Others,Anticancer,Spectrum,Serum,Albumin
2016,Silicon,Spherical,Coated,Unknown,Unpegylated,Phagocytosis,Cytotoxicity,Macrophages,Biodistribution,Microscope,Serum,Fibrinogen
2016,Lipoplexes,Spherical,Coated,Positive charge,Unpegylated,Endocytosis,Cytotoxicity,Immune response,Release,Spectrum,Plasma,Others
2016,Silicon,Spherical,Coated,Unknown,Unpegylated,Unknown,Unknown,Others,Others,Sdspage,Plasma,Lipoprotein
2016,Lipoplexes,Spherical,Coated,Unknown,Unpegylated,Phagocytosis,Cytotoxicity,Complement,Release,Fluorescence,Serum,Albumin
2016,Polystyrene,Spherical,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Others,Release,Proteomics,Medium,Others
2016,Others,Spherical,Coated,Positive charge,Unpegylated,Unknown,Hemotoxicity,Immune response,Enzymes,Spectrum,Serum,Lipoprotein
2016,Agglomerates,Others,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Macrophages,Others,Microscope,Medium,Others
2016,Gold,Spherical,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Complement,Biodistribution,Spectrum,Serum,Others
2016,Gold,Spherical,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Immune response,Release,Microscope,Medium,Others
2016,Others,Spherical,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Inflammation,Biodistribution,Fluorescence,Serum,Albumin
2016,Gold,Nanorods,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Others,Biodistribution,Spectrum,Serum,Albumin
2016,Colloids,Amorphous,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Macrophages,Stability,Uvvis,Medium,Albumin
2016,Silicon,Amorphous,Coated,Negative charge,Unpegylated,Endocytosis,Cytotoxicity,Macrophages,Biodistribution,Microscope,Serum,Lipoprotein
2016,Others,Others,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Others,Anticancer,Microscope,Plasma,Others
2016,Micelles,Spherical,Coated,Negative charge,Unpegylated,Endocytosis,Cytotoxicity,Macrophages,Anticancer,Proteomics,Plasma,Fibrinogen
2016,Micelles,Spherical,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Inflammation,Release,Microscope,Medium,Others
2016,Others,Others,Unknown,Negative charge,Unpegylated,Unknown,Cytotoxicity,Others,Therapy,Others,Plasma,Others
2016,Lipoplexes,Spherical,Coated,Unknown,Unpegylated,Unknown,Cytotoxicity,Inflammation,Biodistribution,Microscope,Serum,Lipoprotein
2016,Others,Nanotubes,Coated,Positive charge,Unpegylated,Unknown,Unknown,Others,Biodistribution,Spectrum,Serum,Albumin
2016,Others,Spherical,Coated,Unknown,Unpegylated,Unknown,Cytotoxicity,Monocytes,Therapy,Microscope,Serum,Albumin
2016,Silicon,Others,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Others,Biodistribution,Microscope,Serum,Albumin
2016,Silicon,Spherical,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Others,Antibacterial,Microscope,Bovine,Albumin
2016,Silver,Nanotubes,Unknown,Positive charge,Unpegylated,Unknown,Cytotoxicity,Immune response,Antibacterial,Fluorescence,Medium,Albumin
2016,Carbon,Others,Unknown,Positive charge,Unpegylated,Unknown,Cytotoxicity,Dendritic cells,Enzymes,Spectrum,Serum,Others
2016,Micelles,Others,Coated,Negative charge,Unpegylated,Endocytosis,Cytotoxicity,Others,Targeting,Fluorescence,Medium,Others
2016,Micelles,Others,Coated,Negative charge,Unpegylated,Endocytosis,Cytotoxicity,Dendritic cells,Release,Fluorescence,Medium,Others
2016,Micelles,Spherical,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Inflammation,Biodistribution,Microscope,Bovine,Albumin
2016,Others,Spherical,Coated,Negative charge,Unpegylated,Endocytosis,Cytotoxicity,Macrophages,Stability,Spectrum,Plasma,Albumin
2016,Silver,Spherical,Coated,Unknown,Unpegylated,Endocytosis,Cytotoxicity,Macrophages,Release,Spectrum,Medium,Others
2016,Silicon,Others,Coated,Unknown,Unpegylated,Unknown,Cytotoxicity,Others,Stability,Fluorescence,Plasma,Transferrin
2016,Magnetic,Others,Unknown,Negative charge,Unpegylated,Unknown,Cytotoxicity,Others,Targeting,Microscope,Plasma,Others
2016,Micelles,Others,Unknown,Unknown,Unpegylated,Endocytosis,Unknown,Others,Release,Others,Bovine,Others
2016,Surfactants,Others,Coated,Positive charge,Unpegylated,Phagocytosis,Cytotoxicity,Inflammation,Biodistribution,Spectrum,Serum,Albumin
2016,Polystyrene,Others,Unknown,Neutral,Unpegylated,Unknown,Cytotoxicity,Others,Biodistribution,Fluorescence,Serum,Albumin
2016,Silicon,Amorphous,Unknown,Negative charge,Unpegylated,Unknown,Cytotoxicity,Others,Biodistribution,Spectrum,Others,Others
2016,Others,Amorphous,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Others,Enzymes,Spectrum,Serum,Albumin
2016,Silicon,Spherical,Coated,Negative charge,Unpegylated,Unknown,Unknown,Others,Biodistribution,Others,Others,Others
2016,Silver,Nanorods,Coated,Positive charge,Unpegylated,Endocytosis,Cytotoxicity,Others,Biodistribution,Spectrum,Medium,Others
2016,Magnetic,Spherical,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Others,Release,Fluorescence,Medium,Albumin
2016,Silver,Spherical,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Others,Antibacterial,Microscope,Serum,Albumin
2016,Others,Spherical,Coated,Unknown,Unpegylated,Unknown,Unknown,Others,Biodistribution,Spectrum,Plasma,Albumin
2016,Gold,Others,Unknown,Negative charge,Unpegylated,Unknown,Unknown,Others,Biodistribution,Proteomics,Bovine,Others
2017,Colloids,Others,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Macrophages,Stability,Microscope,Serum,Albumin
2017,Nanovesicles,Others,Coated,Positive charge,Unpegylated,Endocytosis,Cytotoxicity,Others,Biodistribution,Fluorescence,Medium,Others
2017,Others,Nanorods,Coated,Unknown,Unpegylated,Unknown,Cytotoxicity,Inflammation,Anticancer,Fluorescence,Serum,Albumin
2017,Oxidative,Spherical,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Others,Biodistribution,Spectrum,Serum,Albumin
2017,Silicon,Amorphous,Coated,Negative charge,Unpegylated,Unknown,Hemotoxicity,Inflammation,Biodistribution,Spectrum,Plasma,Albumin
2017,Oxidative,Nanotubes,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Macrophages,Enzymes,Fluorescence,Serum,Others
2017,Oxidative,Others,Coated,Unknown,Unpegylated,Endocytosis,Cytotoxicity,Others,Biodistribution,Spectrum,Plasma,Others
2017,Silicon,Amorphous,Unknown,Negative charge,Unpegylated,Unknown,Cytotoxicity,Others,Targeting,Proteomics,Serum,Albumin
2017,Agglomerates,Spherical,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Others,Biodistribution,Spectrum,Serum,Albumin
2017,Lipoplexes,Nanotubes,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Complement,Anticancer,Microscope,Serum,Albumin
2017,Colloids,Spherical,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Immune response,Stability,Sdspage,Plasma,Albumin
2017,Gold,Others,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Immune response,Anticancer,Icpms,Others,Transferrin
2017,Silver,Nanosheets,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Others,Stability,Spectrum,Serum,Albumin
2017,Micelles,Others,Coated,Positive charge,Unpegylated,Phagocytosis,Cytotoxicity,Inflammation,Biodistribution,Spectrum,Serum,Lipoprotein
2017,Magnetic,Others,Coated,Negative charge,Unpegylated,Unknown,Cytotoxicity,Others,Biodistribution,Sdspage,Serum,Albumin
2017,Oxidative,Others,Coated,Positive charge,Unpegylated,Unknown,Unknown,Complement,Biodistribution,Microscope,Serum,Albumin
2017,Micelles,Nanotubes,Coated,Positive charge,Unpegylated,Endocytosis,Cytotoxicity,Others,Anticancer,Microscope,Serum,Albumin
2017,Lipoplexes,Others,Coated,Negative charge,Unpegylated,Unknown,Unknown,Others,Anticancer,Sdspage,Serum,Albumin
2017,Silicon,Others,Coated,Unknown,Unpegylated,Unknown,Cytotoxicity,Complement,Biodistribution,Microscope,Others,Albumin
2017,Gold,Spherical,Coated,Positive charge,Unpegylated,Unknown,Hemotoxicity,Others,Stability,Spectrum,Medium,Albumin
2017,Colloids,Nanorods,Coated,Positive charge,Unpegylated,Phagocytosis,Cytotoxicity,Immune response,Targeting,Spectrum,Serum,Albumin
2017,Silicon,Amorphous,Coated,Positive charge,Unpegylated,Unknown,Cytotoxicity,Immune response,Enzymes,Spectrum,Plasma,Lipoprotein
2017,Micelles,Spherical,Coated,Positive charge,Unpegylated,Phagocytosis,Cytotoxicity,Complement,Release,Spectrum,Serum,Albumin
